Date Submitted,Workout Date,Activity Type,Calories Burned (kcal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"Sept. 8, 2025","Sept. 8, 2025",Run,126,1.58567,2224,23.376,9.35875,2.56673,6.41111,,5627,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8668309923
"Sept. 8, 2025","Sept. 8, 2025",Run,181,2.29677,3000,21.7697,12.3358,2.75613,4.86388,,7621,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8667916912
"Sept. 7, 2025","Sept. 7, 2025",Run,120,1.51108,2115,23.3277,13.7834,2.57206,4.35308,,5352,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8667409734
"Sept. 6, 2025","Sept. 6, 2025",Run,116,1.42463,2103,24.6028,11.887,2.43874,5.04753,,5306,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8666770937
"Sept. 4, 2025","Sept. 4, 2025",Run,154,1.69096,2932,28.8987,11.7041,2.07622,5.12639,,7341,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8665532261
"Sept. 3, 2025","Sept. 3, 2025",Run,111,1.4234,1789,20.9475,11.2508,2.8643,5.33295,,4555,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8664853706
"Sept. 2, 2025","Sept. 2, 2025",Run,121,1.30666,2314,29.5154,13.4666,2.03284,4.45545,,5788,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8664199968
"Sept. 2, 2025","Sept. 1, 2025",Run,83,0.916135,1578,28.7075,4.31667,2.09004,13.8996,,3952,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8664190415
"Sept. 1, 2025","Sept. 1, 2025",Run,99,1.25305,1669,22.1992,5.79991,2.70281,10.345,,4235,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8663815755
"Sept. 1, 2025","Aug. 31, 2025",Run,104,1.07782,2099,32.4576,13.5888,1.84857,4.4154,,5229,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8663562013
